detection_date,results
28/03/2022,2.2.2.212
28/03/2022,2.2.2.213
28/03/2022,2.2.2.214
28/03/2022,2.2.2.215
28/03/2022,2.2.2.216
28/03/2022,2.2.2.217
28/03/2022,2.2.2.218
28/03/2022,2.2.2.219
28/03/2022,2.2.2.220
28/03/2022,2.2.2.221
28/03/2022,2.2.2.222
28/03/2022,2.2.2.223
28/03/2022,2.2.2.224
28/03/2022,2.2.2.225
28/03/2022,2.2.2.226
28/03/2022,2.2.2.227
28/03/2022,2.2.2.228
28/03/2022,2.2.2.229
28/03/2022,2.2.2.230
28/03/2022,2.2.2.231
28/03/2022,2.2.2.232
28/03/2022,2.2.2.233
28/03/2022,2.2.2.234
28/03/2022,2.2.2.235
28/03/2022,2.2.2.236
28/03/2022,2.2.2.237
28/03/2022,2.2.2.238
28/03/2022,2.2.2.239
28/03/2022,2.2.2.240
28/03/2022,2.2.2.241
28/03/2022,2.2.2.242
28/03/2022,2.2.2.243
28/03/2022,2.2.2.244
28/03/2022,2.2.2.245
28/03/2022,2.2.2.246
28/03/2022,2.2.2.247
28/03/2022,2.2.2.248
28/03/2022,2.2.2.249
28/03/2022,2.2.2.250
28/03/2022,2.2.2.251
28/03/2022,2.2.2.252
28/03/2022,2.2.2.253
28/03/2022,2.2.2.254
28/03/2022,2.2.2.255
